#Rank,University,Town
1,Universitas Indonesia,Depok ...
2,Universitas Gadjah Mada,Sleman ...
3,Universitas Brawijaya,Malang ...
4,Institut Teknologi Bandung,Bandung
5,Universitas Airlangga,Surabaya
6,Universitas Bina Nusantara,Jakarta ...
7,Universitas Padjadjaran,Sumedang ...
8,Universitas Sebelas Maret,Surakarta
9,Universitas Diponegoro,Semarang ...
10,Institut Pertanian Bogor,Bogor
11,Universitas Telkom,Bandung
12,Institut Teknologi Sepuluh Nopember,Surabaya
13,Universitas Pendidikan Indonesia,Bandung
14,Universitas Negeri Semarang,Semarang ...
15,Universitas Teknokrat Indonesia,Bandar Lampung
16,Universitas Negeri Yogyakarta,Sleman
17,Universitas Gunadarma,Depok
18,Universitas Jenderal Soedirman,Banyumas
19,Universitas Jember,Jember
20,Universitas Negeri Malang,Malang ...
21,Universitas Islam Indonesia,Sleman
22,Universitas Riau,Pekanbaru
23,Universitas Muhammadiyah Malang,Malang
24,Universitas Hasanuddin,Makassar
25,Universitas Islam Negeri Sunan Kalijaga Yogyakarta,Sleman
26,Universitas Andalas,Padang ...
27,Universitas Sumatera Utara,Medan
28,Universitas Muhammadiyah Yogyakarta,Bantul
29,Universitas Udayana,Badung ...
30,Universitas Islam Negeri Raden Intan Lampung,Bandar Lampung
31,Universitas Dian Nuswantoro,Semarang
32,Universitas Negeri Padang,Padang ...
33,Universitas Muhammadiyah Prof. Dr. Hamka,Jakarta ...
34,Universitas Lampung,Bandar Lampung
35,Universitas Syiah Kuala,Banda Aceh ...
36,Universitas Islam Negeri Sunan Ampel Surabaya,Surabaya
37,Universitas Mercu Buana,Jakarta
38,Universitas Lambung Mangkurat,Banjarmasin ...
39,Universitas Medan Area,Medan
40,Universitas Islam Negeri Maulana Malik Ibrahim Malang,Malang
41,Universitas Ahmad Dahlan,Yogyakarta ...
42,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Tangerang Selatan
43,Universitas Muhammadiyah Surakarta,Surakarta
44,Universitas Kristen Petra,Surabaya
45,Universitas Atma Jaya Yogyakarta,Sleman
46,Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Jambi
47,Universitas Pamulang,Tangerang
48,Universitas Islam Malang,Malang
49,Universitas Mulawarman,Samarinda
50,Universitas Sam Ratulangi,Manado
51,Universitas Sriwijaya,Palembang ...
52,Universitas Esa Unggul,Jakarta ...
53,Universitas Sanata Dharma,Sleman
54,Universitas Negeri Jakarta,Jakarta
55,Universitas Islam Negeri Sunan Gunung Djati,Bandung
56,Universitas Surabaya,Surabaya ...
57,Universitas Katolik Indonesia Atma Jaya,Jakarta ...
58,Universitas Katolik Parahyangan,Bandung
59,Universitas Muhammadiyah Ponorogo,Ponorogo
60,Universitas Komputer Indonesia,Bandung
61,Universitas Negeri Surabaya,Surabaya
62,Universitas Bengkulu,Bengkulu
63,Universitas Katolik Soegijapranata,Semarang
64,Universitas Malahayati,Bandar Lampung
65,Universitas Kristen Satya Wacana,Salatiga
66,Universitas Bina Sarana Informatika,Jakarta ...
67,Universitas Jambi,Jambi
68,Universitas Muhammadiyah Sumatera Utara,Medan
69,Universitas Islam Negeri Sultan Syarif Kasim Riau,Pekanbaru
70,Universitas Tanjungpura,Pontianak
71,Universitas Islam Bandung,Bandung
72,Universitas Trisakti,Jakarta
73,Universitas Prasetiya Mulya,Jakarta
74,Universitas Muhammadiyah Purworejo,Purworejo
75,Universitas Sultan Ageng Tirtayasa,Serang
76,Universitas Sarjanawiyata Tamansiswa,Yogyakarta
77,Universitas 17 Agustus 1945 Surabaya,Surabaya
78,Universitas Multimedia Nusantara,Tangerang
79,Universitas Negeri Medan,Medan
80,Universitas Mataram,Mataram ...
81,Universitas Pembangunan Nasional Veteran Jawa Timur,Surabaya
82,Universitas Negeri Makassar,Makassar ...
83,Universitas Pembangunan Nasional Veteran Jakarta,Jakarta
84,Universitas Pasundan,Bandung
85,Universitas Pembangunan Nasional Veteran Yogyakarta,Sleman
86,Universitas Pelita Harapan,Tangerang ...
87,Universitas Tarumanagara,West Jakarta
88,Universitas Wijaya Kusuma Surabaya,Surabaya
89,Universitas Pertamina,Jakarta
90,Universitas Muhammadiyah Semarang,Semarang
91,Universitas Islam Negeri Alauddin Makassar,Makassar
92,Universitas Merdeka Malang,Malang
93,Universitas Islam Negeri Sumatera Utara,Medan
94,Institut Seni Indonesia Yogyakarta,Yogyakarta
95,Universitas Muhammadiyah Riau,Pekanbaru
96,Universitas Negeri Gorontalo,Gorontalo
97,Universitas Kristen Duta Wacana,Yogyakarta
98,Universitas Nusa Cendana,Kupang
99,Universitas Al Azhar Indonesia,Jakarta
100,Universitas Islam Sultan Agung,Semarang
101,Universitas Islam Negeri Raden Fatah,Palembang ...
102,Universitas Pendidikan Ganesha,Singaraja
103,Universitas PGRI Madiun,Madiun
104,Universitas Mercu Buana Yogyakarta,Yogyakarta
105,Universitas Singaperbangsa Karawang,Karawang
106,Universitas Islam Negeri Ar-Raniry,Banda Aceh
107,Universitas Muhammadiyah Palu,Palu
108,Universitas Trunojoyo Madura,Bangkalan
109,Universitas Ciputra,Surabaya
110,Universitas Narotama,Surabaya
111,Universitas Dr. Soetomo,Surabaya
112,Universitas Hamzanwadi,Lombok Timur
113,Universitas Budi Luhur,Jakarta
114,Institut Teknologi Nasional,Bandung
115,Universitas Kristen Maranatha,Bandung
116,Universitas Muhammadiyah Surabaya,Surabaya
117,Universitas Islam Negeri Walisongo,Semarang
118,Universitas Bina Darma,Palembang
119,Universitas Malikussaleh,Aceh Utara
120,Institut Seni Indonesia Surakarta,Surakarta
121,Universitas AMIKOM Yogyakarta,Sleman
122,Universitas Muhammadiyah Purwokerto,Banyumas ...
123,Universitas Muhammadiyah Makassar,Makassar
124,Universitas Widyatama,Bandung
125,Universitas Muhammadiyah Sidoarjo,Sidoarjo
126,Universitas Nasional,Jakarta
127,Universitas Pakuan,Bogor
128,Universitas Sangga Buana,Bandung
129,Universitas Islam Darul Ulum Lamongan,Lamongan
130,Universitas Al Muslim,Bireuen
131,Universitas Tadulako,Palu
132,Universitas Alma Ata,Yogyakarta
133,Universitas Muhammadiyah Jakarta,South Tangerang ...
134,Universitas Sulawesi Barat,Majene
135,Universitas Semarang,Semarang
136,Universitas Krisnadwipayana,Jakarta
137,Universitas Bunda Mulia,Jakarta ...
138,Universitas Muhammadiyah Metro,Metro
139,Universitas Bung Hatta,Padang
140,Universitas Halu Oleo,Kendari
141,Universitas Jenderal Achmad Yani,Cimahi
142,Universitas Muhammadiyah Jember,Jember
143,Universitas Sains dan Teknologi Komputer,Semarang ...
144,Universitas Pattimura,Ambon
145,Universitas Tidar Magelang,Magelang
146,Universitas Prima Indonesia,Medan
147,Universitas Potensi Utama,Medan
148,Universitas Katolik Widya Mandala Surabaya,Surabaya
149,Universitas Presiden,Jababeka ...
150,Institut Seni Indonesia Denpasar,Denpasar
151,Universitas Muria Kudus,Kudus
152,Universitas Pasir Pengaraian,Rokan Hulu
153,Universitas Pancasila,Jakarta
154,Universitas 17 Agustus 1945 Samarinda,Samarinda
155,Universitas Islam Negeri Antasari,Banjarmasin
156,Universitas Dinamika Bangsa,Jambi
157,Universitas Darma Persada,Jakarta
158,Universitas YARSI,Jakarta
159,Universitas Islam Riau,Pekanbaru
160,Universitas Indraprasta PGRI,Jakarta
161,Universitas Kristen Indonesia,Jakarta ...
162,Universitas Siliwangi,Tasikmalaya
163,Universitas Kuningan,Kuningan
164,Universitas Islam Kalimantan Muhammad Arsyad Al Banjari,Banjarmasin
165,Universitas Bangka Belitung,Pangkalpinang ...
166,Universitas Muslim Indonesia,Makassar
167,Universitas Islam Negeri Imam Bonjol,Padang
168,Universitas Ibn Khaldun,Bogor
169,Universitas Djuanda,Bogor ...
170,Universitas Tribhuwana Tungga Dewi,Malang
171,Universitas Darussalam Gontor,Ponorogo ...
172,Universitas Palangka Raya,Palangka Raya
173,Universitas Swadaya Gunung Jati,Cirebon
174,Universitas Wahid Hasyim,Semarang
175,Universitas Swiss German,Tangerang ...
176,Universitas Dinamika,Surabaya
177,Universitas Bhayangkara Jakarta Raya,Jakarta
178,Universitas PGRI Semarang,Semarang
179,Universitas Persada Indonesia YAI,Jakarta
180,Universitas Muhammadiyah Palembang,Palembang
181,Universitas Muhammadiyah Magelang,Magelang
182,Universitas 17 Agustus 1945,Jakarta
183,Universitas Borneo Tarakan,Tarakan
184,Universitas Kanjuruhan Malang,Malang
185,Universitas Teknologi Nusantara,Serang
186,Universitas Sampoerna,Jakarta
187,Universitas Bakrie,Jakarta
188,Universitas Aisyiyah Yogyakarta,Sleman
189,Universitas Cenderawasih,Jayapura
190,Universitas Katolik Widya Mandira,Kupang
191,Universitas Nahdlatul Ulama Surabaya,Surabaya
192,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Serang
193,Universitas Advent Indonesia,Bandung
194,Universitas Lancang Kuning,Pekanbaru
195,Universitas Papua,Manokwari
196,Universitas Muhammadiyah Cirebon,Cirebon
197,Universitas Muhammadiyah Kalimantan Timur,Samarinda
198,Universitas PGRI Palembang,Palembang
199,Universitas Maritim Raja Ali Haji,Tanjung Pinang
200,Universitas Kristen Krida Wacana,Jakarta
201,Universitas Pendidikan Muhammadiyah Sorong,Sorong
202,Universitas Nusantara PGRI Kediric,Kediri
203,Institut Teknologi Nasional Malang,Malang
204,Universitas Stikubank,Semarang
205,Universitas Islam Nusantara,Bandung
206,Universitas Internasional Batam,Batam
207,Universitas 17 Agustus 1945 Semarang,Semarang
208,Universitas Islam Sumatera Utara,Medan
209,Universitas Khairun,Ternate ...
210,Universitas Pembangunan Panca Budi,Medan
211,Universitas Muhammadiyah Tangerang,Tangerang
212,Universitas PGRI Yogyakarta,Bantul
213,Universitas Warmadewa,Denpasar
214,Universitas Paramadina,Jakarta
215,Universitas Teknologi Yogyakarta,Sleman
216,Universitas Ma Chung,Malang
217,Universitas Muhammadiyah Gresik,Gresik
218,Universitas Katolik De La Salle,Manado
219,Universitas Muhammadiyah Palangkaraya,Palangkaraya
220,Universitas PGRI Adi Buana,Surabaya
221,Universitas Negeri Manado,Minahasa
222,Universitas HKBP Nommensen,Medan
223,Universitas Garut,Garut
224,Universitas Muhammadiyah Mataram,Mataram
225,Universitas Darussalam Ambon,Ambon ...
226,Universitas Islam Negeri Mataram,Mataram
227,Universitas Islam Lamongan,Lamongan ...
228,Universitas Serambi Mekkah,Banda Aceh
229,Universitas Islam Nahdlatul Ulama,Jepara
230,Universitas Pembangunan Jaya,Tangerang Selatan
231,Universitas Respati Yogyakarta,Sleman
232,Universitas Pesantren Tinggi Darul 'Ulum,Jombang
233,Universitas Musamus Merauke,Merauke
234,Universitas Muhammadiyah Lamongan,Lamongan
235,Universitas Teuku Umar,Aceh Barat
236,Universitas Pendidikan Nasional,Denpasar
237,Universitas Putera Batam,Batam
238,Universitas Batanghari,Jambi
239,Universitas Galuh Ciamis,Ciamis
240,Universitas Buana Perjuangan Karawang,Karawang
241,Universitas Slamet Riyadi,Surakarta
242,Universitas Nusa Putra,Sukabumi
243,Universitas Suryakancana,Cianjur
244,Universitas Muhammadiyah Buton,Baubau
245,Universitas Abdurrab,Pekanbaru
246,Universitas Bandar Lampung,Bandar Lampung
247,Universitas Hang Tuah,Surabaya
248,Universitas Informatika Dan Bisnis Indonesia,Bandung
249,Universitas Mahasaraswati Denpasar,Denpasar
250,Universitas Pancasakti,Tegal
251,Universitas Islam Majapahit,Mojokerto
252,Universitas Muhammadiyah Sumatera Barat,Padang ...
253,Universitas Abulyatama,Aceh Besar
254,Universitas Muhammadiyah Pontianak,Pontianak ...
255,Universitas Yudharta Pasuruan,Pasuruan
256,Universitas Balikpapan,Balikpapan
257,Universitas Internasional Semen Indonesia,Gresik
258,Universitas Sains Al-Qur'an,Wonosobo
259,Universitas Prof. Dr. Moestopo,Jakarta
260,Universitas Wiralodra,Indramayu
